,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
320,ACC420,1981-11-16,Tupolev TU-154,Aeroflot,CCCP-85480,99,167,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Krasnoyarsk Airport (KJA/UNKL), Russia","Noril'sk Airport (NSK/UOOO), Russia",Noril'sk Airport (NSK) (Russia)
326,ACC426,1982-02-09,Douglas DC-3,Trans Air Services,RP-C141,3,32,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Manila International Airport (MNL/RPLL), Philippines","Sicogon Island Airport (ICO), Philippines",Mt. Ipao (Philippines)
331,ACC431,1982-03-11,de Havilland Canada DHC-6,Widerøes Flyveselskap,LN-BNK,15,15,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Berlevåg Airport (BVG/ENBV), Norway","Mehamn Airport (MEH/ENMR), Norway",6 km (3.8 mls) SE off Gamvik (Norway)
334,ACC434,1982-03-26,Dornier 228,Dornier Luftfahrt GmbH,D-IFNS,3,3,Destroyed,Maneuvering (MNV),Test,"Oberpfaffenhofen Airport (OBF/EDMO), Germany","Oberpfaffenhofen Airport (OBF/EDMO), Germany",near Igenhausen (Germany)
337,ACC437,1982-05-06,Learjet 23,IBEX Corp.,N100TA,4,4,Destroyed,En route (ENR),Executive,"Teterboro Airport, NJ (TEB/KTEB), United States of America","Orlando International Airport, FL (MCO/KMCO), United States of America","19 km (11.9 mls) off Savannah, GA (Atlantic Ocean) (United States of America)"
338,ACC438,1982-05-09,de Havilland Canada DHC-7,Alyemda,7O-ACK,23,49,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Mukalla Airport (MKX), Yemen","Aden International Airport (ADE/ODAA), Yemen",2 km (1.3 mls) E off Aden International Airport (ADE) (Yemen)
347,ACC447,1982-06-12,Fairchild FH-227,TABA - Transportes Aéreos da Bacia Amazônica,PT-LBV,44,44,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Eirunepé Airport, AM (ERN/SWEI), Brazil","Tabatinga Internacional Airport, AM (TBT/SBTT), Brazil","Tabatinga Internacional Airport, AM (TBT) (Brazil)"
348,ACC448,1982-07-11,Hawker Siddeley HS-748,Philippine Air Lines,RP-C1014,1,30,Damaged beyond repair,Takeoff (TOF),Scheduled Passenger,"Jolo Airport (JOL/RPMJ), Philippines","Zamboanga Airport (ZAM/RPMZ), Philippines",Jolo Airport (JOL) (Philippines)
351,ACC451,1982-09-01,de Havilland Canada DHC-4,Aerolineas Condor,HC-BHZ,44,44,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Zumba Airport (SEZP), Ecuador","Loja Airport (LOH/SELO), Ecuador",near Valladolid (Ecuador)
352,ACC452,1982-09-03,Learjet 25,Companhia Brasileira de Tratores,PT-JBQ,10,10,Destroyed,Approach (APR),Private,"Tucurui Airport, PA (TUR/SBTU), Brazil","Porto Velho Airport, RO (PVH/SBPV), Brazil","5 km (3.1 mls) from Rio Branco Airport, AC (RBR) (Brazil)"
356,ACC456,1982-12-07,Swearingen SA227,Pioneer Airlines,N30093,2,2,Destroyed,En route (ENR),Cargo,"Santa Fe Airport, NM (SAF/KSAF), United States of America","Pueblo Memorial Airport, CO (PUB/KPUB), United States of America","32 km (20 mls) SSW of Pueblo Memorial Airport, CO (PUB) (United States of America)"
357,ACC457,1982-12-23,Antonov AN-26,Aeroflot,CCCP-26627,16,16,Damaged beyond repair,Takeoff (TOF),Cargo,"Rostov Airport (ROV/URRR), Russia","Krasnovodsk Airport (KRW/UTAK), Turkmenistan",1 km (0.6 mls) from Rostov Airport (ROV) (Russia)
358,ACC458,1983-01-11,Rockwell Sabreliner 65,Sun Oil Co,N99S,5,5,Destroyed,Approach (APR),Executive,"Philadelphia International Airport, PA (PHL/KPHL), United States of America","Toronto International Airport, ON (YYZ/CYYZ), Canada","13 km (8.1 mls) NE of Toronto International Airport, ON (YYZ) (Canada)"
360,ACC460,1983-03-10,de Havilland Canada DHC-6,Bakhtar Afghan Airlines,YA-GAZ,19,19,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Uruzgan Airport (URZ/OARG), Afghanistan","Kabul Airport (KBL/OAKB), Afghanistan",near Shashgow Ghazni (Afghanistan)
361,ACC461,1983-03-11,McDonnell Douglas DC-9,AVENSA,YV-67C,23,50,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Caracas Airport (CCS/SVMI), Venezuela","Barquisimeto Airport (BRM/SVBM), Venezuela",Barquisimeto Airport (BRM) (Venezuela)
362,ACC462,1983-03-29,Let L-410,Aeroflot,CCCP-67190,6,0,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Poti Airport (UGSP), Georgia","Sukhumi Airport (SUI/UGSS), Georgia",Poti Airport (Georgia)
363,ACC463,1983-04-07,Britten-Norman BN-2,Munz Northern Airlines,N37MN,2,3,Substantial,En route (ENR),Ferry/positioning,"Nome Airport, AK (OME/PAOM), United States of America","Ambler Airport, AK (ABL/PAFM), United States of America","Selawik, AK (United States of America)"
364,ACC464,1983-04-19,Yakovlev YAK-40,Aeroflot,CCCP-87291,21,21,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Nalchik Airport (NAL/URMN), Russia","Leninakan Airport (LWN/UDSG), Armenia",41 km (25.6 mls) NE of Leninakan Airport (LWN) (Armenia)
369,ACC469,1983-06-02,McDonnell Douglas DC-9,Air Canada,C-FTLU,23,46,Substantial,En route (ENR),International Scheduled Passenger,"Dallas/Fort Worth International Airport, TX (DFW/KDFW), United States of America","Toronto International Airport, ON (YYZ/CYYZ), Canada","Cincinnati/Northern Kentucky Airport, KY (CVG) (United States of America)"
372,ACC472,1983-07-01,Ilyushin IL-62,Chosonminhang,889,23,23,Damaged beyond repair,En route (ENR),Int'l Non Scheduled Passenger,"Cairo International Airport (CAI/HECA), Egypt","Conakry Airport (CKY/DGCY), Guinea",near Labé (Guinea)
375,ACC475,1983-08-28,Beechcraft 200,Moore's Air Charter,VH-KTE,12,12,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Windorah Airport, QLD (WNR/YWDH), Australia","Toowoomba Airport, QLD (TWB/YTWB), Australia","3,5 km (2.2 mls) S of Adavale, QLD (Australia)"
376,ACC476,1983-09-02,Britten-Norman BN-2,Central Mountain Air Services,C-GIPF,7,7,Missing,En route (ENR),Domestic Scheduled Passenger,"Campbell River Airport, BC (YBL/CYBL), Canada","Smithers Airport, BC (YYD/CYYD), Canada","near Smithers, BC (Canada)"
377,ACC477,1983-09-23,Boeing 737,Gulf Air,A4O-BK,112,112,Destroyed,Approach (APR),International Scheduled Passenger,"Karachi International Airport (KHI/OPKC), Pakistan","Abu Dhabi International Airport (AUH/OMAA), United Arab Emirates",Mino Jebel Ali (United Arab Emirates)
378,ACC478,1983-09-28,Britten-Norman BN-2,Taiwan Airlines,B-11109,10,10,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Taitung Airport (TTT/RCFN), Taiwan","Orchid Island Airport (KYD/RCLY), Taiwan",off Lanyu Island (Taiwan)
379,ACC479,1983-10-07,Embraer EMB-110,TAM Transportes Aéreos Regionais,PP-SBH,7,15,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Campo Grande Internacional Airport, MS (CGR/SBCG), Brazil","Araçatuba Airport, SP (ARU/SBAU), Brazil","Araçatuba Airport, SP (ARU) (Brazil)"
380,ACC480,1983-10-08,de Havilland Canada DHC-6,Burma Airways,XY-AEE,9,14,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Lonkin, Myanmar","Myitkyina Airport (MYT/VYMK), Myanmar",near Lonkin (Myanmar)
383,ACC483,1983-11-23,de Havilland Canada DHC-6,Austin Airways,C-GTLA,4,7,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Sandy Lake Airport, ON (ZSJ/CZSJ), Canada","Lansdowne House Airport, ON (YLH/CYLH), Canada","0,4 km (0.3 mls) from Lansdowne House Airport, ON (YLH) (Canada)"
384,ACC484,1983-11-28,Fokker F-28,Nigeria Airways,5N-ANF,53,72,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Lagos/Ikeja International Airport (LOS/DNMM), Nigeria","Enugu Airport (ENU/DNEN), Nigeria","3,3 km (2.1 mls) from Enugu Airport (ENU) (Nigeria)"
386,ACC486,1983-12-17,de Havilland Canada DHC-6,Inuvik Coastal Airways,C-FGJK,2,12,Damaged beyond repair,Landing (LDG),Domestic Non Scheduled Passenger,"Inuvik/Mike Zubko Airport, NT (YEV/CYEV), Canada","Paulatuk Airport, NT (YPC/CYPC), Canada","Paulatuk Airport, NT (YPC) (Canada)"
388,ACC488,1984-01-28,Antonov AN-24,Aeroflot,CCCP-47310,4,53,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Kuybyshev Airport (KUF/UWWW), Russia","Izhevsk Airport (IJK/USII), Russia",Izhevsk Airport (IJK) (Russia)
390,ACC490,1984-02-20,Cessna 500,Flight Safety Australia,VH-FSA,2,2,Destroyed,Approach (APR),Cargo,"Townsville Airport, QLD (TSV/YBTL), Australia","Prosperine Airport, QLD (PPP/YBPN), Australia","4 km (2.5 mls) NW of Prosperine Airport, QLD (PPP) (Australia)"
393,ACC493,1984-03-16,Fairchild F-27,Lloyd Aéreo Boliviano - LAB,CP-862,23,23,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Trinidad Airport (TDD/SLTR), Bolivia","San Borja Airport (SRJ/SLSB), Bolivia",Cerro Pilón (Bolivia)
400,ACC500,1984-07-21,de Havilland Canada DHC-6,South Pacific Island Airways - SPIA,N43SP,1,14,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Pago Pago International Airport (PPG/NSTU), American Samoa","Tau Airport (TAV), American Samoa",Tau Airport (TAV) (American Samoa)
402,ACC502,1984-08-19,Vickers 668,Leicester Aircraft Preservation,G-BDFT,11,14,Destroyed,En route (ENR),Demonstration,"East Midlands Airport (EMA/EGNX), United Kingdom","Liverpool International Airport (LPL/EGGP), United Kingdom",Marchington (United Kingdom)
404,ACC504,1984-09-06,IRMA/Britten-Norman BN-2,Talair,P2-ISG,9,11,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Tabubil Airport (TBG/AYTB), Papua New Guinea","Telefomin Airstrip (TFM/AYTE), Papua New Guinea",Mount Musaka (Papua New Guinea)
405,ACC505,1984-09-16,Antonov AN-2,Aeroklub Polskiej Rzeczypospolitej Ludowej - APRL,SP-AMK,11,26,Damaged beyond repair,Takeoff (TOF),Domestic Non Scheduled Passenger,"Opole/Polska Nowa Wies Airport (EPOP), Poland","Opole/Polska Nowa Wies Airport (EPOP), Poland",Opole (Poland)
406,ACC506,1984-10-09,de Havilland Canada DHC-6,Nahanni Air Services,C-FPPL,7,7,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Tulita Airport, NT (ZFN/CZFN), Canada","Fort Franklin Airport, NT (YWJ/CYWJ), Canada","Fort Franklin, NT (Canada)"
407,ACC507,1984-10-11,de Havilland Canada DHC-6,Labrador Airways,C-FAUS,4,4,Destroyed,Approach (APR),Ambulance,"St. Anthony Airport, NL (YAY/CYAY), Canada","Goose Bay Airport, NL (YYR/CYYR), Canada","ca 46 km SE of Goose Bay Airport, NL (YYR) (Canada)"
408,ACC508,1984-10-11,Tupolev TU-154,Aeroflot,CCCP-85243,174,179,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Krasnodar Airport (KRR/URKK), Russia","Omsk Airport (OMS/UNOO), Russia",Omsk Airport (OMS) (Russia)
412,ACC512,1984-11-20,de Havilland Canada DHC-6,TAME Ecuador,HC-BCG,14,14,Damaged beyond repair,En route (ENR),Passenger,"Loja Airport (LOH/SELO), Ecuador","Zumba Airport (SEZP), Ecuador",between Loja and Zumba (Ecuador)
414,ACC514,1984-12-04,Airbus A300,Kuwait Airways,9K-AHG,2,161,None,En route (ENR),International Scheduled Passenger,"Dubai Airport (DXB/OMDB), United Arab Emirates","Karachi International Airport (KHI/OPKC), Pakistan",Tehran-Mehrabad Airport (THR) (Iran)
415,ACC515,1984-12-04,Let L-410,Aeroflot,CCCP-67225,17,17,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Kostroma Airport (KMW/UUBA), Russia","Ivanovo Airport (IWA/UUBI), Russia",30 km (18.8 mls) SE of Kostroma Airport (KMW) (Russia)
416,ACC516,1984-12-06,Embraer EMB-110,Provincetown-Boston Airline - PBA,N96PB,13,13,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Jacksonville International Airport, FL (JAX/KJAX), United States of America","Tampa International Airport, FL (TPA/KTPA), United States of America","2,4 km (1.5 mls) NW of Jacksonville International Airport, FL (JAX) (United States of America)"
417,ACC517,1984-12-20,de Havilland Canada DHC-6,Air Tanzania,5H-MRD,3,3,Damaged beyond repair,En route (ENR),Training,"Dar es Salaam International Airport (DAR/HTDA), Tanzania","Dar es Salaam International Airport (DAR/HTDA), Tanzania",near Kerege (Tanzania)
418,ACC518,1984-12-23,Tupolev TU-154,Aeroflot,CCCP-85338,110,111,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Krasnoyarsk Airport (KJA/UNKL), Russia","Irkutsk Airport (IKT/UIII), Russia",Krasnoyarsk Airport (KJA) (Russia)
420,ACC520,1985-01-18,Antonov AN-24,CAAC,B-434,38,41,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Nanjing Dajiaochang Airport (NKG/ZSNJ), China","Jinan Airport (TNA/ZSTN), China",near Jinan Airport (TNA) (China)
421,ACC521,1985-01-23,Embraer EMB-110,AIRES Colombia,HK-2638,17,17,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Neiva Airport (NVA/SKNV), Colombia","Cali Airport (CLO/SKCL), Colombia",16 km (10 mls) from Buga (Colombia)
422,ACC522,1985-02-01,Beechcraft A100,Lisa Flite Corporation,N72BS,2,2,Damaged beyond repair,Approach (APR),Ferry/positioning,"Ridgeland Airport, SC, United States of America","Millville Airport, NJ (MIV/KMIV), United States of America","Cedarville, NJ (United States of America)"
424,ACC524,1985-02-22,Antonov AN-24,Air Mali,TZ-ACT,51,52,Destroyed,Initial climb (ICL),Domestic Non Scheduled Passenger,"Tombouctou Airport (TOM/GATB), Mali","Mopti Airport (MZI/GAMB), Mali",ca 3 km from Tombouctou Airport (TOM) (Mali)
429,ACC529,1985-05-09,Consolidated PBY-5A Catalina,Drilling Muds,N84857,1,3,Substantial,Standing (STD),Survey/research,"Lewistown Municipal Airport, MT (LWT/KLWT), United States of America","Reno/Tahoe International Airport, NV (RNO/KRNO), United States of America","Lewistown Municipal Airport, MT (LWT) (United States of America)"
430,ACC530,1985-05-31,Grumman G-159,General Aviation Inc.,N181TG,2,2,Destroyed,Initial climb (ICL),Cargo,"Nashville Metropolitan Airport, TN (BNA/KBNA), United States of America","Indianapolis International Airport, IN (IND/KIND), United States of America","Nashville Metropolitan Airport, TN (BNA) (United States of America)"
434,ACC534,1985-07-10,Tupolev TU-154,Aeroflot,CCCP-85311,200,200,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Karshi Airport (KSQ/UTSL), Uzbekistan","Ufa Airport (UFA/UWUU), Russia",near Uchkuduk (Uzbekistan)
435,ACC535,1985-08-02,Lockheed L-1011,Delta Air Lines,N726DA,134,163,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Fort Lauderdale International Airport, FL (FLL/KFLL), United States of America","Dallas/Fort Worth International Airport, TX (DFW/KDFW), United States of America","Dallas/Fort Worth International Airport, TX (DFW) (United States of America)"
436,ACC536,1985-08-20,Learjet 24,ERA-Jet Alaska,N455JA,3,3,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Anchorage International Airport, AK (ANC/PANC), United States of America","Gulkana Airport, AK (GKN/PAGK), United States of America","12 km (7.5 mls) N of Gulkana, AK (United States of America)"
438,ACC538,1985-09-04,Antonov AN-26,Bakhtar Afghan Airlines,YA-BAM,52,52,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kandahar Airport (KDH/OAKN), Afghanistan","Farah Airport (FAH/OAFR), Afghanistan",18 km (11.3 mls) W of Kandahar (Afghanistan)
439,ACC539,1985-09-29,Cessna 208,Air Carriers Express Services Inc,N551CC,17,17,Destroyed,Initial climb (ICL),Parachuting,"Jenkinsburg, GA, United States of America","Jenkinsburg, GA, United States of America","near Jenkinsburg, GA (United States of America)"
440,ACC540,1985-10-11,Yakovlev YAK-40,Aeroflot,CCCP-87803,14,14,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Kutaisi Airport (KUT/UGKO), Georgia","Poti Airport (UGSP), Georgia",47 km (29.4 mls) W of Kutaisi (Georgia)
441,ACC541,1985-10-22,Learjet 24,ERA-Jet Alaska,N456JA,4,4,Destroyed,Approach (APR),Ambulance,"Anchorage International Airport, AK (ANC/PANC), United States of America","Juneau International Airport, AK (JNU/PAJN), United States of America","45 km (28.1 mls) W of Juneau International Airport, AK (JNU) (United States of America)"
443,ACC543,1985-11-01,Cessna 208,Hermens Air,N9241F,2,4,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Bethel Airport, AK (BET/PABE), United States of America","Chevak Airport, AK (VAK/PAVA), United States of America","Bethel Airport, AK (BET) (United States of America)"
444,ACC544,1985-11-10,Dassault Falcon 50,"Nabisco Brands, Inc.",N784B,2,2,Destroyed,Approach (APR),Executive,"Morristown Municipal Airport, NJ (MMU/KMMU), United States of America","Teterboro Airport, NJ (TEB/KTEB), United States of America","7,2 km (4.5 mls) ESE of Teterboro Airport, NJ (TEB) (United States of America)"
451,ACC551,1986-02-17,Ilyushin IL-14,Aeroflot,CCCP-41816,6,6,Damaged beyond repair,En route (ENR),Ferry/positioning,"Molodezhnaya Ice Station, Antarctica","Mirny Ice Station, Antarctica",Philippi Glacier (Antarctica)
453,ACC553,1986-03-02,Antonov AN-24,Aeroflot,CCCP-46423,38,38,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Cheboksary Airport (CSY/UWKS), Russia","Bugulma Airport (UUA/UWKB), Russia",8 km (5 mls) N of Bugulma Airport (UUA) (Russia)
454,ACC554,1986-03-20,de Havilland Canada DHC-4,Woods Air Service,N539Y,2,2,Damaged beyond repair,Approach (APR),Executive,"Palmer Municipal Airport, AK (PAQ/PAAQ), United States of America","Lime Village Airport, AK (LVD), United States of America","Lime Village, AK (United States of America)"
455,ACC555,1986-03-24,de Havilland Canada DHC-3,Goose Bay Air Services,C-FAGM,4,5,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Snegamook Lake, NL, Canada","Goose Bay Airport, NL (YYR/CYYR), Canada","76 km (47.5 mls) N of Goose Bay, NL (Canada)"
456,ACC556,1986-03-25,Antonov AN-12,MTM Omsk,CCCP-11795,9,9,Damaged beyond repair,Approach (APR),Cargo,"Tbilisi Airport (TBS/UGGG), Georgia","Omsk Severny Airport (UNOS), Russia","2,1 km (1.3 mls) from Omsk Severny Airport (Russia)"
458,ACC558,1986-06-10,Fokker F-27,Air Sinai,SU-GAD,23,26,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Cairo International Airport (CAI/HECA), Egypt","Alexandria Airport (ALY/HEAX), Egypt",near Cairo International Airport (CAI) (Egypt)
459,ACC559,1986-06-22,Tupolev TU-134,Aeroflot,CCCP-65142,1,59,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,"Penza Airport (PEZ/UWPP), Russia","Simferopol Airport (SIP/UKFF), Russia",Penza Airport (PEZ) (Russia)
460,ACC560,1986-06-27,Martin 4-0-4,Frontier Airlines,N40443,3,3,Destroyed,Takeoff (TOF),Agricultural,"Buffalo Municipal Airport, WY (BYG/KBYG), United States of America","Buffalo Municipal Airport, WY (BYG/KBYG), United States of America","Buffalo Municipal Airport, WY (BYG) (United States of America)"
464,ACC564,1986-08-28,Howard 250,Southwest Airlift,N252K,2,2,Destroyed,Approach (APR),Cargo,"Little Rock National Airport, AR (LIT/KLIT), United States of America","Texarkana Municipal Airport, AR (TXK/KTXK), United States of America","Texarkana Municipal Airport, AR (TXK) (United States of America)"
465,ACC565,1986-09-05,Boeing 747,Pan Am,N656PA,20,379,Minor,Standing (STD),International Scheduled Passenger,"Karachi International Airport (KHI/OPKC), Pakistan","Frankfurt International Airport (FRA/EDDF), Germany",Karachi International Airport (KHI) (Pakistan)
467,ACC567,1986-10-19,Tupolev TU-134,República de Moçambique,C9-CAA,34,44,Destroyed,Approach (APR),Official state flight,"Mbala Airport (MMQ/FLBA), Zambia","Maputo International Airport (MPM/FQMA), Mozambique",near Komatipoort (South Africa)
469,ACC569,1986-10-23,Fokker F-27,Pakistan International Airlines - PIA,AP-AUX,13,54,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Lahore Airport (LHE/OPLA), Pakistan","Peshawar Airport (PEW/OPPS), Pakistan",10 km (6.3 mls) S of Peshawar Airport (PEW) (Pakistan)
470,ACC570,1986-10-28,Grumman G-73,Virgin Islands Seaplane Shuttle,N604SS,1,15,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Christiansted Harbor SPB, Saint Croix (SSB), U.S. Virgin Islands","Saint Thomas Island SPB (SPB), U.S. Virgin Islands","off Christiansted, St Croix (U.S. Virgin Islands)"
472,ACC572,1986-12-10,Beechcraft 100,Teledyne Industries,N65TD,6,6,Damaged beyond repair,Approach (APR),Executive,"Elyria Airport, OH, United States of America","Pittsfield Airport, MA (PSF/KPSF), United States of America","Windsor, MA (United States of America)"
474,ACC574,1986-12-27,de Havilland Canada DH-114,Sunflower Airlines,DQ-FEF,11,14,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Savusavu Airport (SVU/NFNS), Fiji","Nadi International Airport (NAN/NFFN), Fiji",NE of Nadi International Airport (NAN) (Fiji)
475,ACC575,1987-01-15,Swearingen SA226,SkyWest Airlines,N163SW,8,8,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Pocatello Airport, ID (PIH/KPIH), United States of America","Salt Lake City International Airport, UT (SLC/KSLC), United States of America","Kearns, UT (United States of America)"
482,ACC582,1987-05-11,Douglas DC-3,Northland Air Manitoba,C-FADD,2,2,Damaged beyond repair,Approach (APR),Cargo,"Big Trout Airport, ON (YTL/CYTL), Canada","Pickle Lake Airport, ON (YPL/CYPL), Canada","3 km (1.9 mls) W of Pickle Lake, ON (Canada)"
484,ACC584,1987-05-25,de Havilland Canada DHC-6,Mission Aviation Fellowship - MAF,PK-MAM,7,30,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Wamena Airport (WMX/WAJW), Indonesia","Ilaga Airport (ILA/WABL), Indonesia",near Ilaga Airport (ILA) (Indonesia)
485,ACC585,1987-06-11,Antonov AN-26,Bakhtar Afghan Airlines,YA-BAL,53,55,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kandahar Airport (KDH/OAKN), Afghanistan","Kabul Airport (KBL/OAKB), Afghanistan",near Khost (Afghanistan)
487,ACC587,1987-06-21,Fokker F-27,Burma Airways,XY-ADP,45,45,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Heho Airport (HEH/VYHH), Myanmar","Mong Hsat Airport (MOG/VYMS), Myanmar",24 km (15 mls) SE of Hopong (Myanmar)
490,ACC590,1987-07-17,Beechcraft B200,Richard P. Lieberman,N1870S,4,4,Damaged beyond repair,En route (ENR),Private,"Hayward Air Terminal, CA (HWD/KHWD), United States of America","Lake Tahoe Airport, CA (TVL/KTVL), United States of America","Crystal Bay, NV (United States of America)"
494,ACC594,1987-08-31,Boeing 737,Thai Airways,HS-TBC,83,83,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Hat Yai Airport (HDY/VTSS), Thailand","Phuket International Airport (HKT/VTSP), Thailand",15 km (9.4 mls) E off Phuket International Airport (HKT) (Thailand)
496,ACC596,1987-09-21,Airbus A300,EgyptAir,SU-BCA,5,5,Damaged beyond repair,Landing (LDG),Training,"Cairo International Airport (CAI/HECA), Egypt","Luxor Airport (LXR/HELX), Egypt",Luxor Airport (LXR) (Egypt)
499,ACC599,1987-10-08,Volpar Turboliner II,Connie Kalitta Services,N9231,1,1,Damaged beyond repair,Takeoff (TOF),Cargo,"Memphis International Airport, TN (MEM/KMEM), United States of America","Cincinnati/Northern Kentucky Airport, KY (CVG/KCVG), United States of America","Memphis International Airport, TN (MEM) (United States of America)"
501,ACC601,1987-10-15,Dassault Falcon 10,Falcon Jet Corp,N121FJ,3,3,Destroyed,Maneuvering (MNV),Demonstration,"Rancho Murieta, CA (KRIU), United States of America","San Jose Municipal Airport, CA (SJC/KSJC), United States of America","Rancho Murieta, CA (United States of America)"
502,ACC602,1987-10-19,Beechcraft B200,Artix,G-MDJI,1,1,Damaged beyond repair,Approach (APR),Ferry/positioning,"Teesside International Airport (MME/EGNV), United Kingdom","Leeds/Bradford Airport (LBA/EGNM), United Kingdom","3,4 km (2.1 mls) NNW of Leeds/Bradford Airport (LBA) (United Kingdom)"
503,ACC603,1987-10-23,Cessna 208,Federal Express,N828FE,1,1,Destroyed,En route (ENR),Cargo,"Oakland International Airport, CA (OAK/KOAK), United States of America","Reno/Tahoe International Airport, NV (RNO/KRNO), United States of America","near Fairfield, CA (United States of America)"
504,ACC604,1987-10-31,IRMA/Pilatus Britten-Norman BN-2,Onyx Aviation,N25MR,2,2,Destroyed,En route (ENR),Ferry/positioning,"El Paso International Airport, TX (ELP/KELP), United States of America","Santa Paula Airport, CA (SZP), United States of America","Desert Center, CA (United States of America)"
505,ACC605,1987-11-10,de Havilland Canada DHC-4,Kenn Borek Air,C-GVYX,2,4,Damaged beyond repair,Approach (APR),Ferry/positioning,"Fort Nelson Airport, BC (YYE/CYYE), Canada","Ross River Airport, YT (XRR/CYDM), Canada","near Ross River Airport,YT (XRR) (Canada)"
507,ACC607,1987-11-23,Beechcraft 1900,Ryan Air Service,N401RA,18,21,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Kodiak Airport, AK (ADQ/PADQ), United States of America","Homer Airport, AK (HOM/PAHO), United States of America","Homer Airport, AK (HOM) (United States of America)"
508,ACC608,1987-11-27,Cessna 208,Skyferry,ZK-SFB,2,2,Damaged beyond repair,En route (ENR),Cargo,"Wellington International Airport (WLG/NZWN), New Zealand","Christchurch International Airport (CHC/NZCH), New Zealand",off Haumuri Bluffs (New Zealand)
509,ACC609,1987-12-04,Britten-Norman BN-2,Wilderness Airline,C-GOMC,4,4,Missing,En route (ENR),Domestic Scheduled Passenger,"Bella Coola Airport, BC (QBC/CYBD), Canada","Campbell River Airport, BC (YBL/CYBL), Canada","near Mount Waddington, BC (Canada)"
510,ACC610,1987-12-07,British Aerospace BAE-146,Southwest Air,N350PS,43,43,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Los Angeles International Airport, CA (LAX/KLAX), United States of America","San Francisco International Airport, CA (SFO/KSFO), United States of America","ca 19 km SW of Paso Robles, CA (United States of America)"
513,ACC613,1988-01-08,Learjet 36,Phoenix Air,N79SF,2,2,Destroyed,Approach (APR),Cargo,"Memphis International Airport, TN (MEM/KMEM), United States of America","Monroe Municipal Airport, LA (MLU/KMLU), United States of America","16 km (10 mls) SW of Monroe Municipal Airport, LA (MLU) (United States of America)"
515,ACC615,1988-01-19,Pilatus Britten-Norman BN-2,Taiwan Airlines,B-11125,10,11,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Taitung Airport (TTT/RCFN), Taiwan","Green Island Airport (GNI/RCGI), Taiwan",near Green Island Airport (GNI) (Taiwan)
