,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
932,ACC1032,1997-02-14,Boeing 737,Varig,PP-CJO,1,52,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Marabá Airport, PA (MAB/SBMA), Brazil","Carajás Airport, PA (CKS/SBCJ), Brazil","Carajás Airport, PA (CKS) (Brazil)"
936,ACC1036,1997-03-18,Antonov AN-24,Stavropolskaya Aktsionernaya Avia,RA-46516,50,50,Destroyed,En route (ENR),Int'l Non Scheduled Passenger,"Stavropol Airport (STW/URMT), Russia","Trabzon Airport (TZX/LTCG), Turkey",1 km (0.6 mls) E of Cherkessk (Russia)
937,ACC1037,1997-03-25,Shorts SC.7 Skyvan,Arctic Circle Air Service,N451SA,1,1,Destroyed,En route (ENR),Ferry/positioning,"Nunapitchuk Airport, AK (NUP), United States of America","Bethel Airport, AK (BET/PABE), United States of America","2,8 km (1.8 mls) ENE of Nunapitchuk Airport, AK (NUP) (United States of America)"
941,ACC1041,1997-05-15,Yakovlev YAK-40,Azerbaijan Airlines,4K-87504,6,6,Damaged beyond repair,Approach (APR),Training,"Gyandzha Airport (KVD/UBBG), Azerbaijan","Gyandzha Airport (KVD/UBBG), Azerbaijan","5,2 km (3.3 mls) from Gyandzha Airport (KVD) (Azerbaijan)"
943,ACC1043,1997-05-20,Rockwell 1121,private,N1121F,4,4,Destroyed,En route (ENR),Executive,"El Paso International Airport, TX (ELP/KELP), United States of America","Toluca Airport (TLC/MMTO), Mexico",near La Carbonera (Mexico)
946,ACC1046,1997-06-06,Vickers 781,Bazair,9Q-CWL,23,23,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Bunia Airport (BUX/FZKA), Congo (Democratic Republic)","Kisangani Airport (FKI/FZIA), Congo (Democratic Republic)",near Irumu (Congo (Democratic Republic))
947,ACC1047,1997-06-17,Antonov AN-2,Tula Air Enterprise,RA-84700,4,7,Damaged beyond repair,Initial climb (ICL),Ferry/positioning,"Tula Airport (TYA/UUWV), Russia","Shakhty Airport, Russia",near Tula Airport (TYA) (Russia)
950,ACC1050,1997-07-21,Learjet 31,Singapore Airlines,9V-ATD,2,2,Damaged beyond repair,En route (ENR),Training,"Phuket International Airport (HKT/VTSP), Thailand","Ranong Airport (UNN/VTSR), Thailand",48 km (30 mls) S of Ranong (Thailand)
957,ACC1057,1997-08-14,Beechcraft 200,Colvin Aviation Inc.,N74EJ,1,1,Damaged beyond repair,Approach (APR),Ferry/positioning,"Athens Airport, GA (AHN/KAHN), United States of America","Dalton Municipal Airport, GA (DNN/KDNN), United States of America","0,3 km (0.2 mls) NW of Dalton Municipal Airport, GA (DNN) (United States of America)"
961,ACC1061,1997-10-08,Cessna 208,Scenic Airlines,N12022,9,9,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Montrose County Airport, CO (MTJ/KMTJ), United States of America","Page Airport, AZ (PGA/KPGA), United States of America","33 km (20.6 mls) SW of Montrose, CO (United States of America)"
