Unnamed: 0,acc. date,type,operator,fat.,location,dmg
3460,10 Jul 1985,Tupolev Tu-154B-2,Aeroflot / Uzbekistan,200,near Uchkuduk,dst
3466,24 Jul 1985,Douglas DC-6B,Fuerza Aérea Colombiana,80,32 km N of Leticia,dst
3470,2 Aug 1985,Lockheed L-1011 TriStar 1,Delta Air Lines,135,"Dallas/Fort Worth International Airport, TX (DFW)",dst
3474,12 Aug 1985,Boeing 747SR-46,Japan Air Lines - JAL,520,"26 km SW of Ueno Village, Tano district, Gunma Prefecture",dst
3484,22 Aug 1985,Boeing 737-236,British Airtours,55,Manchester International Airport (MAN),dst
3491,4 Sep 1985,Antonov An-26,Bakhtar Afghan Airlines,52,18 km W of Kandahar,w/o
3527,24 Nov 1985,Boeing 737-266,EgyptAir,60,Malta-Luqa Airport (MLA),w/o
3538,12 Dec 1985,McDonnell Douglas DC-8-63CF,Arrow Air,256,"1 km SW of Gander Airport, NL (YQX)",dst
3560,18 Jan 1986,Sud Aviation SE-210 Caravelle VI-N,Aerovias Guatemala,94,8 km from Flores-Santa Elena Airport (FRS),dst
3603,31 Mar 1986,Boeing 727-264,Mexicana de Aviación,167,Las Mesas,dst
3654,2 Jul 1986,Tupolev Tu-134AK,"Aeroflot, Komi Civil Aviation Directorate",54,Kopsa,w/o
3677,14 Aug 1986,Lockheed C-130D-6 Hercules,Fuerza Aérea Hondureña,52,NW of Mocorón-Durzona Airstrip,w/o
3678,16 Aug 1986,Fokker F-27 Friendship 400M,Sudan Airways,60,near Malakal,w/o
3684,31 Aug 1986,McDonnell Douglas DC-9-32,Aeroméxico,82,"Cerritos, CA",dst
3716,20 Oct 1986,Tupolev Tu-134A,"Aeroflot, North Kavkaz Civil Aviation Directorate",70,Kuybyshev Airport (KUF),dst
3726,2 Nov 1986,Lockheed C-130 Hercules,Islamic Republic of Iran Air Force - IRIAF,103,11 km E of Zahedan,dst
3744,12 Dec 1986,Tupolev Tu-134A,Aeroflot / Belarus,72,3 km NE of Berlin-Schönefeld Airport (SXF),dst
3751,25 Dec 1986,Boeing 737-270C,Iraqi Airways,63,near Arar,w/o
3759,3 Jan 1987,Boeing 707-379C,Varig,50,18 km NE of Abidjan-Felix Houphouet Boigny Airport (ABJ),dst
3768,13 Jan 1987,Antonov An-12,Ethiopian Air Force,54,near Asmara International Airport (ASM),w/o
3846,9 May 1987,Ilyushin Il-62M,LOT Polskie Linie Lotnicze,183,6 km SE of Warszawa-Okecie Airport (WAW),dst
3865,11 Jun 1987,Antonov An-26,Bakhtar Afghan Airlines,53,near Khost,w/o
3874,18 Jun 1987,Antonov An-26,Fuerza Aérea del Peru - FAP,50,40 km SE of Saposoa Airport (SQU),dst
3884,26 Jun 1987,Hawker Siddeley HS-748-209 Srs. 2,Philippine Air Lines,50,19 km ESE of Baguio-Loakan Airport (BAG),dst
3912,16 Aug 1987,McDonnell Douglas DC-9-82 (MD-82),Northwest Airlines,156,"Detroit-Metropolitan Wayne County Airport, MI (DTW)",dst
3920,31 Aug 1987,Boeing 737-2P5,Thai Airways,83,15 km E off Phuket International Airport (HKT),dst
3972,28 Nov 1987,Boeing 747-244B,South African Airways - SAA,159,250 km NE off Mauritius,dst
3973,29 Nov 1987,Boeing 707-3B5C,Korean Air,115,"100 km NW off Tavoy, Myanmar [Andaman Sea]",dst
4018,18 Jan 1988,Ilyushin Il-18D,China Southwest Airlines,108,"5,7 km NW of Chongqing Baishiyi Airport",dst
4053,17 Mar 1988,Boeing 727-21,Avianca,143,25 km NW of Cúcuta-Camilo Daza Airport (CUC),dst
4106,3 Jul 1988,Airbus A300B2-203,Iran Air,290,4 km SE off Qeshm Island,dst
4148,9 Sep 1988,Tupolev Tu-134A,Hâng Không Viêtnam,76,6 km N of Bangkok-Don Muang International Airport (BKK),dst
4184,19 Oct 1988,Boeing 737-2A8,Indian Airlines,133,"2,54 km NE of Ahmedabad Airport (AMD)",dst
4217,11 Dec 1988,Ilyushin Il-76M,Soviet Air Force,77,15 km from Leninakan Airport (LWN),dst
4223,21 Dec 1988,Boeing 747-121A,Pan American World Airways (Pan Am),270,Lockerbie,dst
4254,8 Feb 1989,Boeing 707-331B,Independent Air,144,"7 km E of Santa Maria-Vila do Porto Airport, Azores (SMA)",dst
4326,7 Jun 1989,McDonnell Douglas DC-8-62,Surinam Airways,176,3 km W of Paramaribo-Zanderij International Airport (PBM),dst
4332,21 Jun 1989,de Havilland Canada DHC-5D Buffalo,Fuerza Aérea del Peru - FAP,59,near Tarma,w/o
4347,19 Jul 1989,McDonnell Douglas DC-10-10,United Airlines,111,"Sioux Gateway Airport, IA (SUX)",dst
4354,27 Jul 1989,McDonnell Douglas DC-10-30,Korean Air,79,"2,4 km E of Tripoli International Airport (TIP)",dst
4375,25 Aug 1989,Fokker F-27 Friendship 200,Pakistan International Airlines - PIA,54,Himalaya Mountains,mis
4380,3 Sep 1989,Ilyushin Il-62M,Cubana de Aviación,150,"0,7 km NE of Havana-José Martí International Airport (HAV)",dst
4386,8 Sep 1989,Convair CV-580,Partnair,55,18 km N off Hirtshals [Skagerrak],dst
4412,19 Sep 1989,McDonnell Douglas DC-10-30,Union de Transports Aériens - UTA,170,Ténéré desert,dst
4439,18 Oct 1989,Ilyushin Il-76MD,Soviet Air Force,57,"1,5 km off Sumqayit",dst
4442,21 Oct 1989,Boeing 727-224,TAN Honduras - Transportes Aéreos Nacionales,131,9 km S of Tegucigalpa-Toncontin Airport (TGU),dst
4446,26 Oct 1989,Boeing 737-209,China Airlines,54,"5,5 km N of Hualien Airport (HUN)",w/o
