Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
1631,19 Nov 1977,Boeing 727-282,TAP Air Portugal,131,Funchal Airport (FNC),dst,DE,BY,Oberding,48.35832,11.78429
1644,2 Dec 1977,Tupolev Tu-154A,Libyan Arab Airlines,59,near Benghazi,w/o,MA,,Casablanca,33.62381,-7.49904
1645,4 Dec 1977,Boeing 737-2H6,Malaysian Airlines System - MAS,100,near Tanjong Kupang,dst,MY,KDH,Kupang,5.60508,100.84655
1671,1 Jan 1978,Boeing 747-237B,Air-India,213,3 km W off Bombay-Santacruz Airport (BOM),dst,IN,MH,Mumbai,19.0836,72.84668
1720,16 Mar 1978,Tupolev Tu-134,Balkan Bulgarian Airlines,73,near Gabare,dst,BG,,Byala Slatina,43.31161,23.91473
1848,25 Sep 1978,Boeing 727-214,Pacific Southwest Airlines - PSA,144,"5,6 km NE of San Diego International Airport, CA (SAN)",dst,PE,,Jaén,-5.7089393,-78.8070487
1888,15 Nov 1978,McDonnell Douglas DC-8-63CF,Loftleidir,183,"2,1 km NE of Colombo-Bandaranaike International Airport (CMB)",dst,LK,,Dehiwala-Mount Lavinia,6.82075,79.88852
1894,19 Nov 1978,Antonov An-12B,Indian Air Force - IAF,78,"0,5 km from Leh Airport (IXL)",dst,US,,,38.89037,-77.03196
1923,23 Dec 1978,McDonnell Douglas DC-9-32,Alitalia,108,3 km N off Palermo-Punta Raisi Airport (PMO),dst,IT,,Cinisi,38.18705,13.10604
1962,12 Feb 1979,Vickers 748D Viscount,Air Rhodesia,59,near Kariba,w/o,ZW,,Kariba,-16.52516,28.80201
1984,17 Mar 1979,Tupolev Tu-104B,Aeroflot / Ukraine,58,near Moskva-Vnukovo Airport (VKO),w/o,RU,,Moscow,55.61347,37.28363
2006,23 Apr 1979,Vickers 785D Viscount,SAETA,57,Pastaza Province,dst,EC,Y,,-1.47071,-77.99638
2023,25 May 1979,McDonnell Douglas DC-10-10,American Airlines,273,"Chicago-O'Hare International Airport, IL (ORD)",dst,US,IL,Chicago,41.98212,-87.90219
