,acc. date,type,operator,fat.,location,dmg
11218,29 Jun 2019,Cessna 208B Supervan 900,ISR Aviation LLC,0,"Plant City-Blackwater Creek Ultralight Flightpark, FL",sub
11219,30 Jun 2019,Dassault Falcon 900B,Warren Transportation LLC,0,"Dallas-Addison Airport, TX (ADS)",w/o
11220,30 Jun 2019,Antonov An-2T,"DOSAAF, Gvardeysky ATSK",0,near Gvardeysky,sub
11221,30 Jun 2019,Beechcraft B300 King Air 350i,EE Operations LLC,10,"Dallas-Addison Airport, TX (ADS)",dst
11222,1 Jul 2019,Boeing 737-85R,SpiceJet,0,Mumbai-Chhatrapati Shivaji International Airport (BOM),sub
11223,8 Jul 2019,Canadair CL-215-6B11 (CL-415),Gouvernement du Québec,0,"83 km NW of Roberval Airport, QC (YRJ)",sub
11224,8 Jul 2019,Cessna 208B Grand Caravan,Grant Aviation,0,"Bethel Airport, AK (BET)",dst
11225,8 Jul 2019,Airbus A320-214,Afriqiyah Airways,0,Tripoli-Mitiga International Airport (MJI),min
11226,9 Jul 2019,Antonov An-2,Unknown,0,"near Raduga, Novoaleksandrovsk District",sub
11227,9 Jul 2019,Boeing 737-8K2 (WL),KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS),min
11228,9 Jul 2019,Airbus A320-214 (WL),easyJet Europe,0,Amsterdam-Schiphol International Airport (AMS),min
11229,12 Jul 2019,Cessna 525 CitationJet,"Omicron Business Services, LLC",0,"Orlando Executive Airport, FL (ORL)",sub
11230,13 Jul 2019,Beechcraft B200 Super King Air,Unknown,0,"Graham Creek, Toledo",dst
11231,16 Jul 2019,Antonov An-2,Unknown,0,"Novoshchedrinskaya, Chechnya",w/o
11232,17 Jul 2019,Cessna 550 Citation II,Avia Jet LLC,0,"Mesquite Municipal Airport, NV",dst
11233,19 Jul 2019,de Havilland Canada DHC-8-402Q Dash 8,WestJet Encore,0,"Edmonton International Airport, AB (YEG)",sub
11234,20 Jul 2019,ATR 42-500,Pakistan International Airlines - PIA,0,Gilgit Airport (GIL),sub
11235,23 Jul 2019,Boeing 757-324 (WL),United Airlines,0,"San Francisco International Airport, CA (SFO)",sub
11236,23 Jul 2019,Boeing 737-36N (WL),Air Peace,0,Lagos-Murtala Muhammed International Airport (LOS),sub
11237,25 Jul 2019,Ilyushin Il-76TD,Europe Air,1,Al Jufra Airbase,w/o
11238,25 Jul 2019,Ilyushin Il-76TD,Europe Air,0,Al Jufra Airbase,w/o
11239,26 Jul 2019,Cessna 208 Caravan 675,Seair Seaplanes,4,"Addenbroke Island, BC",dst
11240,27 Jul 2019,Fairchild SA227-AC Metro III,Sierra West Airlines,0,"El Paso International Airport, TX (ELP)",sub
