,acc. date,type,operator,fat.,location,dmg
3664,22 Jul 1986,Douglas DC-3A,Borinquen Air,1,ca 2 km W of San Juan-Luis Muñoz Marín International Airport (SJU),w/o
3665,23 Jul 1986,Mitsubishi Mu-300 Diamond IA,Yomiuri Shimbun,4,Mount Kinpoku,w/o
3666,24 Jul 1986,de Havilland Canada DHC-8-110,Leeward Islands Air Transport - LIAT,0,Saint Kitts-Golden Rock Airport (SKB),sub
3667,25 Jul 1986,Fokker F-27 Friendship 600,Air Ivoire,0,Tabou Airport (TXU),w/o
3668,29 Jul 1986,Antonov An-2R,Zakladu Uslug Agrolotniczych - ZUA,n/a,Krasiny,w/o
3669,31 Jul 1986,Britten-Norman BN-2A-21 Islander,Atlas Consolidated Mining & Development Corp.,4,Mount Canlandog,w/o
3670,2 Aug 1986,Hawker Siddeley HS-125-1A-522,American Agronomics Corp,2,"Bedford-Virgil I Grissom Municipal Airport, IN (BFR)",dst
3671,4 Aug 1986,de Havilland Canada DHC-6 Twin Otter 310,Leeward Islands Air Transport - LIAT,13,SW off Saint Vincent-Arnos Vale Airport (SVD),mis
3672,6 Aug 1986,Learjet 55,Federal Paper Board,0,"Rutland Airport, VT (RUT)",dst
3673,6 Aug 1986,Sud Aviation SE-210 Caravelle III,Kabo Air,0,Calabar Airport (CBQ),w/o
3674,10 Aug 1986,McDonnell Douglas DC-10-40,American Trans Air,0,"Chicago-O'Hare International Airport, IL (ORD)",dst
3675,11 Aug 1986,Antonov An-2R,"Aeroflot, Far East Civil Aviation Directorate",2,"Konder Mountain, Khabarovsk region",w/o
3676,14 Aug 1986,Fokker F-27 Friendship 400M,Tentara Nasional Indonesia-AU (Air Force),8,near Garut,w/o
3677,14 Aug 1986,Lockheed C-130D-6 Hercules,Fuerza Aérea Hondureña,52,NW of Mocorón-Durzona Airstrip,w/o
3678,16 Aug 1986,Fokker F-27 Friendship 400M,Sudan Airways,60,near Malakal,w/o
3679,28 Aug 1986,Boeing 737-2A8,Indian Airlines,0,Rajkot-Civil Airport (RAJ),sub
3680,28 Aug 1986,Tupolev Tu-134A,LOT Polskie Linie Lotnicze,0,Warszawa-Okecie Airport (WAW),non
3681,28 Aug 1986,Beechcraft A100 King Air,Flandre Air,n/a,near Lille-Lesquin Airport (LIL),w/o
3682,28 Aug 1986,Douglas C-47 (DC-3),Fuerza Aérea Sandinista,2,near Siuna,w/o
3683,28 Aug 1986,Howard 250,Southwest Airlift,2,"Texarkana Municipal Airport, AR (TXK)",dst
3684,31 Aug 1986,McDonnell Douglas DC-9-32,Aeroméxico,64+18,"Cerritos, CA",dst
3685,2 Sep 1986,de Havilland Canada DHC-3 Otter,Pickle Lake Air Services,0,"96 km NE of Pickle Lake, ON",dst
3686,2 Sep 1986,Britten-Norman BN-2A Trislander Mk.III-1,Kondair,0,over North Sea,min
3687,3 Sep 1986,Learjet 24,Jet Way Enterprises,0,"Detroit-Willow Run Airport, MI (YIP)",sub
3688,5 Sep 1986,Antonov An-24RV,Tarom,3,Cluj Airport (CLJ),w/o
3689,5 Sep 1986,Boeing 747-121,Pan American World Airways (Pan Am),20,Karachi International Airport (KHI),min
3690,9 Sep 1986,Lockheed C-130A Hercules,United States Air Force - USAF,3,"Hopkinsville-Fort Campbell AAF, KY (HOP)",w/o
3691,11 Sep 1986,de Havilland DH-114 Riley Heron 2,Fiji Air,1,Vanuabalavu Airport (VBV),w/o
3692,14 Sep 1986,Britten-Norman BN-2A Trislander Mk.III-2,Kondair,1,"4,6 km from Amsterdam-Schiphol International Airport (AMS)",dst
3693,19 Sep 1986,Embraer EMB-120RT Brasilia,Delta Connection,5,"near Mantiqueira, SP",dst
3694,20 Sep 1986,Tupolev Tu-134,Aeroflot,4,Ufa Airport (UFA),min
3695,29 Sep 1986,Rockwell Sabreliner 75A,Federal Aviation Administration - FAA,0,"Liberal Municipal Airport, KS (LBL)",sub
3696,29 Sep 1986,Airbus A300B2-1C,Indian Airlines,0,Chennai (Madras) Airport (MAA),w/o
3697,1 Jan 1970,Yakovlev Yak-42,"Aeroflot, Central Region Civil Aviation Directorate",0,Moskva-Bykovo Airport (BKA),w/o
3698,1 Jan 1970,IRMA/Pilatus Britten-Norman BN-2A-21 Islander,Gorda Aero Service,n/a,unknown,w/o
3699,1 Jan 1970,Britten-Norman BN-2A Trislander Mk.III-2,Turks & Caicos National Airline,0,off Port-de-Paix,w/o
3700,2 Oct 1986,Dassault Falcon 10,Rembrandt Tobacco,4,Magoebaskloof,w/o
3701,3 Oct 1986,Shorts SC.7 Skyvan 3-200,East Indonesia Air Taxi,13,near Manado,w/o
3702,4 Oct 1986,Lockheed L-100-30 Hercules,Southern Air Transport,3,"San Antonio-Kelly AFB, TX (SKF)",dst
3703,5 Oct 1986,Fairchild C-123K Provider,Corporate Air Services,3,near San Carlos,w/o
3704,9 Oct 1986,Douglas DC-7C,United States Agency for International Development,3,6 km off Dakar-Yoff Airport (DKR),w/o
3705,9 Oct 1986,Antonov An-2R,"Aeroflot, Yakutsk Civil Aviation Directorate",n/a,near Tiksi,w/o
3706,13 Oct 1986,McDonnell Douglas DC-9-41,Scandinavian Airlines System - SAS,0,Aalborg Airport (AAL),min
3707,14 Oct 1986,Let L-410M,"Aeroflot, Yakutsk Civil Aviation Directorate",14,"0,3 km off Ust-Maya Airport",w/o
3708,15 Oct 1986,Lockheed C-141B Starlifter,United States Air Force - USAF,0,"Fairfield-Travis AFB, CA (SUU)",w/o
3709,15 Oct 1986,Boeing 737-286,Iran Air,3,Shiraz Airport (SYZ),w/o
3710,15 Oct 1986,CASA C-212-M Aviocar 100,Armada de Chile,11,19 km S of Cabildo,w/o
3711,15 Oct 1986,Lockheed C-130 Hercules,Islamic Republic of Iran Air Force - IRIAF,n/a,Shiraz Airport (SYZ),w/o
3712,17 Oct 1986,Douglas C-47B-35-DK (DC-3),Royal Australian Air Force - RAAF,0,"Edinburgh RAAF Station, SA",w/o
3713,18 Oct 1986,de Havilland Canada DHC-6 Twin Otter 300,Surinam Airways,0,Stoelmanseiland,unk
3714,19 Oct 1986,McDonnell Douglas DC-9-41,Scandinavian Airlines System - SAS,0,København-Kastrup Airport (CPH),sub
3715,19 Oct 1986,Tupolev Tu-134A-3,República de Moçambique,34,near Komatipoort,dst
3716,20 Oct 1986,Tupolev Tu-134A,"Aeroflot, North Kavkaz Civil Aviation Directorate",70,Kuybyshev Airport (KUF),dst
3717,21 Oct 1986,Shorts SC.7 Skyvan 3-200,Arctic Circle Air Service,0,"Nightmute Airport, AK (NME)",sub
3718,23 Oct 1986,Fokker F-27 Friendship 600,Pakistan International Airlines - PIA,13,10 km S of Peshawar Airport (PEW),w/o
3719,23 Oct 1986,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,Indian Airlines,0,Indore Airport (IDR),sub
3720,24 Oct 1986,Learjet 25XR,Sheikh Salim bin Laden,2,near Medina,w/o
3721,25 Oct 1986,Boeing 737-222,Piedmont Airlines,0,"Charlotte-Douglas Airport, NC (CLT)",dst
3722,26 Oct 1986,Airbus A300B4-601,Thai Airways International,0,over Tosa Bay,sub
3723,28 Oct 1986,Grumman G-73 Mallard,Virgin Islands Seaplane Shuttle,1,"off Christiansted, St Croix",w/o
3724,29 Oct 1986,de Havilland Canada DHC-3 Otter,Jamie Munoz,1,near San Juan-Isla Grande Airport (SIG),dst
3725,1 Jan 1970,Convair CV-880-22M-3,Federal Aviation Administration - FAA,0,"Mojave Air & Space Port, CA (MHV)",w/o
3726,2 Nov 1986,Lockheed C-130 Hercules,Islamic Republic of Iran Air Force - IRIAF,103,11 km E of Zahedan,dst
3727,3 Nov 1986,Beechcraft 200 Super King Air,Royal Air Maroc - RAM,4,Casablanca-Nouasseur Airport (CMN),w/o
3728,6 Nov 1986,Cessna 551 Citation II/SP,Barbary Coast Hotel & Casino,n/a,unknown,w/o
3729,6 Nov 1986,Boeing 727-235,Pan American World Airways (Pan Am),0+1,"Tampa International Airport, FL (TPA)",sub
3730,8 Nov 1986,Beechcraft A100 King Air,American Aviation,0,"Brooksville-Hernando County Airport, FL",w/o
3731,10 Nov 1986,Airbus A300B2-203,Iran Air,0,Tabriz Airport (TBZ),non
3732,13 Nov 1986,Lockheed L-1011 TriStar 1,Delta Air Lines,0,"Newark International Airport, NJ (EWR)",sub
3733,25 Nov 1986,Beechcraft 99 Airliner,Extra Executive Transport,0,Paris-Orly Airport (ORY),w/o
3734,27 Nov 1986,de Havilland Canada C-115 Buffalo (DHC-5),Força Aérea Brasileira - FAB,n/a,"Rio de Janeiro-Afonsos Air Force Base, RJ",w/o
3735,27 Nov 1986,Sud Aviation SE-210 Caravelle 11R,Aerosucre Colombia,0,Arauca Airport (AUC),w/o
3736,29 Nov 1986,de Havilland Canada DHC-6 Twin Otter 200,Eastern Metro Express Airlines,0,San Juan-Luis Muñoz Marín International Airport (SJU),sub
3737,29 Nov 1986,Antonov An-12,Soviet Air Force,29,24 km from Kabul Airport (KBL),dst
3738,30 Nov 1986,British Aerospace 3102 Jetstream 31,Piedmont Commuter,0,"Erie International Airport, PA (ERI)",w/o
3739,1 Jan 1970,Douglas DC-6A,Carga Aérea Dominicana,0,Congo Town Airport,w/o
3740,6 Dec 1986,Antonov An-26,Magyar Légierö - Hungarian Air Force,4,near Veszprém-Szentkirályszabadja Air Base,w/o
3741,7 Dec 1986,Antonov An-26B,MAP Moscow,0,"0,8 km E of Moskva-Bykovo Airport (BKA)",w/o
3742,10 Dec 1986,Beechcraft B200 Super King Air,Syncrude Canada Ltd,0,"11 km SE of Fort McMurray Airport, AB (YMM)",w/o
3743,10 Dec 1986,Beechcraft 100 King Air,Teledyne Industries,6,"Windsor, MA",w/o
3744,12 Dec 1986,Tupolev Tu-134A,Aeroflot / Belarus,72,3 km NE of Berlin-Schönefeld Airport (SXF),dst
3745,15 Dec 1986,Britten-Norman BN-2 Islander,Guyana Defence Force,n/a,unknown,w/o
3746,15 Dec 1986,British Aerospace BAe-125-600B,Radio Communications Corp,8+2,2 km from Casablanca,w/o
3747,15 Dec 1986,Antonov An-24RV,CAAC,6,Lanzhou-Zhongchuan Airport (LHW),w/o
3748,17 Dec 1986,Britten-Norman BN-2A-27 Islander,Nahanni Air Services,0,"3 km S of Norman Wells Airport, NT (YVQ)",w/o
3749,17 Dec 1986,CASA C-212 Aviocar 200,Latin Air Service,0,Caribbean Sea,w/o
3750,23 Dec 1986,Douglas C-54R (DC-4),Central Air Services,0,"off Arlington, WA",w/o
3751,25 Dec 1986,Boeing 737-270C,Iraqi Airways,63,near Arar,w/o
3752,27 Dec 1986,Antonov An-12,Soviet Air Force,1,68 km from Kabul Airport (KBL),sub
3753,27 Dec 1986,de Havilland DH-114 Riley Heron 2B,Sunflower Airlines,11,NE of Nadi International Airport (NAN),w/o
3754,31 Dec 1986,Let L-410UVP,"Aeroflot, Krasnoyarsk Civil Aviation Directorate",0,Chernenko Airport,w/o
3755,31 Dec 1986,Boeing 737,United Airlines,0,"near Raleigh/Durham Airport, NC",min
3756,1 Jan 1970,Dornier Do 128-2 Skyservant,Servicio Aéreo Misional - SAM,0,unknown,w/o
3757,1 Jan 1970,Britten-Norman BN-2A Trislander Mk.III,Cooper Skybird Aircharters,n/a,unknown,w/o
3758,2 Jan 1987,CASA C-212 Aviocar 100,Ejército del Aire,22,200 m off Bata Airport (BSG),w/o
3759,3 Jan 1987,Boeing 707-379C,Varig,50,18 km NE of Abidjan-Felix Houphouet Boigny Airport (ABJ),dst
3760,6 Jan 1987,Sud Aviation SE-210 Caravelle 10B1R,Transwede,0,Stockholm-Arlanda Airport (ARN),w/o
3761,7 Jan 1987,Douglas C-54D-1-DC (DC-4),Kinair Cargo,n/a,unknown,w/o
3762,8 Jan 1987,Boeing 707-323C,Middle East Airlines - MEA,0,Beirut International Airport (BEY),w/o
3763,10 Jan 1987,McDonnell Douglas DC-9,New York Air,0,"Washington-Dulles International Airport, DC (IAD)",non
3764,10 Jan 1987,Britten-Norman BN-2A Islander,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),9,"off Pilas Island, Sulu Sea",w/o
3765,10 Jan 1987,Antonov An-2,Força Aérea Popular de Angola,n/a,unknown,w/o
3766,10 Jan 1987,McDonnell Douglas DC-10-30,Nigeria Airways,0,Ilorin Airport (ILR),dst
3767,12 Jan 1987,Britten-Norman BN-2A-20 Islander,Trillium Air,1,"5,6 km SSE off Toronto Island Airport, ON (YTZ)",w/o
3768,13 Jan 1987,Antonov An-12,Ethiopian Air Force,54,near Asmara International Airport (ASM),w/o
3769,13 Jan 1987,NAMC YS-11A-213,Mid Pacific Airlines,0,"Remington, IN",w/o
3770,14 Jan 1987,Learjet 35A,Fidinam Fiduciara,0,Lugano Airport (LUG),sub
3771,14 Jan 1987,Learjet C-21A (Learjet 35A),United States Air Force - USAF,2,"Montgomery-Maxwell AFB, AL (MXF)",w/o
3772,14 Jan 1987,Antonov An-32,Força Aérea Popular de Angola,n/a,unknown,w/o
3773,15 Jan 1987,Boeing 707-365C,Transbrasil,0,"over Jaboatão, PE",sub
3774,15 Jan 1987,Antonov An-2,Força Aérea Popular de Angola,n/a,unknown,w/o
3775,15 Jan 1987,Swearingen SA226-TC Metro II,SkyWest Airlines,8+2,"Kearns, UT",w/o
3776,16 Jan 1987,Cessna 208 Caravan I,California Air Charter,1,"Cima, CA",dst
3777,16 Jan 1987,Yakovlev Yak-40,Aeroflot / Uzbekistan,9,Tashkent-Yuzhny Airport (TAS),dst
3778,18 Jan 1987,Fokker F-27 Friendship 200,British Midland Airways - BMA,0,4 km W of East Midlands Airport (EMA),w/o
3779,19 Jan 1987,Antonov An-2,Força Aérea Popular de Angola,n/a,unknown,w/o
3780,23 Jan 1987,Antonov An-24RV,MIAT - Mongolian Airlines,n/a,Ulan Bator-Buyant Uhaa Airport (ULN),w/o
3781,25 Jan 1987,Yakovlev Yak-40,"Aeroflot, Northern Civil Aviation Directorate",0,Tarnogsky Gorodok Airport,w/o
3782,27 Jan 1987,Fokker F-27 Friendship 200,Brasil Central,0,"Varginha Airport, MG (VAG)",w/o
3783,30 Jan 1987,Cessna U-27A Caravan I,Liberian Army Air Reconnaissance Unit,16,64 km SE off Monrovia,w/o
3784,2 Feb 1987,Curtiss C-46F-1-CU Commando,Trans Aéreos San Miguel - TASMI,0,56 km NE of San Ignacio de Moxos,w/o
3785,5 Feb 1987,Learjet 55,Aero France,11,near Jakiri,dst
3786,5 Feb 1987,Swearingen SA226-AT Merlin IV,RFG,0,München-Riem Airport (MUC),w/o
3787,6 Feb 1987,Embraer EMB-110P2 Bandeirante,Talair,14,off eastern coast,w/o
3788,7 Feb 1987,Antonov An-12TB,"Aeroflot, Magadan Civil Aviation Directorate",n/a,Sverdlovsk Airport (SVX),w/o
3789,7 Feb 1987,de Havilland Canada DHC-6 Twin Otter 300,Inter Atoll Air,0,Felvoru,w/o
3790,9 Feb 1987,Britten-Norman BN-2A Trislander Mk.III-1,Air West,0,"3,3 km E of Liverpool International Airport (LPL)",w/o
3791,9 Feb 1987,Antonov An-26,Democratic Republic of Afghanistan Air Force - DRAAF,36,near Khost Airport (KHT),w/o
3792,11 Feb 1987,Beechcraft 99 Airliner,Catskill Airways,0,"Oneonta Municipal Airport, NY",sub
3793,11 Feb 1987,CASA C-212 Aviocar 200,Air Force of Zimbabwe,3,unknown,dst
3794,13 Feb 1987,Canadair CL-215-1A10,Ejército del Aire,0,San Juan Reservoir,w/o
3795,13 Feb 1987,Boeing KC-135A Stratotanker,United States Air Force - USAF,0,"Altus AFB, OK (LTS)",w/o
3796,16 Feb 1987,Convair CV-240-24,Israeli Aircraft Industries - IAI,0,Tel Aviv-Ben Gurion International Airport (TLV),w/o
3797,17 Feb 1987,Beechcraft 200T Super King Air,Japan Maritime Safety Agency - JMSA,5,near Fukuoka Airport (FUK),w/o
3798,19 Feb 1987,Antonov An-26,Soviet Air Force,9,near Stadnitsa,w/o
3799,23 Feb 1987,McDonnell Douglas DC-9-41,Scandinavian Airlines System - SAS,0,Trondheim-Værnes Airport (TRD),w/o
3800,24 Feb 1987,Britten-Norman BN-2A-21 Islander,Dirgantara Air Services,4,within Kalimantan,w/o
3801,27 Feb 1987,British Aerospace BAe-146-200A,Pacific Southwest Airlines - PSA,0,"Fresno Air Terminal, CA (FAT)",sub
3802,1 Jan 1970,IRMA/Britten-Norman BN-2A-26 Islander,Yung Shing Airlines,n/a,unknown,w/o
3803,2 Mar 1987,Lockheed L-100-30 Hercules,Libyan Arab Airlines,0,Abu Simbel Airport (ABS),non
3804,4 Mar 1987,CASA C-212 Aviocar 200,Northwest Airlink,9,"Detroit-Metropolitan Wayne County Airport, MI (DTW)",dst
3805,5 Mar 1987,Embraer EMB-110P2 Bandeirante,Mid-Continent Airlines,0,"Norfolk-Stefan Field, NE (OFK)",sub
3806,6 Mar 1987,Antonov An-26,Aeroflot / Tajikistan,9,56 km E of Alma-Ata,w/o
3807,7 Mar 1987,Boeing 727,Alaska Airlines,0,"Anchorage International Airport, AK (ANC)",non
3808,9 Mar 1987,Douglas C-47A-50-DL (DC-3),Aero Express,3,near Guarita,w/o
3809,9 Mar 1987,Douglas DC-3-201G,International Flight Center,3,Provincia Independencia,w/o
3810,10 Mar 1987,Swearingen SA226-AT Merlin IV,Soundair,0,"Boston-Logan International Airport, MA (BOS)",sub
3811,11 Mar 1987,Antonov An-24RV,Cubana de Aviación,1,Havana-José Martí International Airport (HAV),unk
3812,13 Mar 1987,Boeing KC-135A Stratotanker,United States Air Force - USAF,6+1,"Spokane-Fairchild AFB, WA (SKA)",w/o
3813,13 Mar 1987,Antonov An-22,Soviet Air Force,0,Addis Ababa-Bole Airport (ADD),w/o
3814,21 Mar 1987,Antonov An-26,Libyan Arab Repubic Air Force,n/a,Wadi Doum,w/o
3815,21 Mar 1987,Antonov An-26,Libyan Arab Repubic Air Force,n/a,Wadi Doum,w/o
3816,24 Mar 1987,Convair CV-580,American Eagle,0,"Dallas/Fort Worth International Airport, TX (DFW)",sub
3817,25 Mar 1987,CASA C-212-MR Aviocar 200,Marina Venezolana,3,off Higuerote,w/o
3818,26 Mar 1987,Embraer C-95B Bandeirante (EMB-110),Força Aérea Brasileira - FAB,3,"near Rio de Janeiro, RJ",dst
3819,27 Mar 1987,Learjet 24A,Connie Kalitta Services,3,"7,5 km NW of Eagle, CO",dst
3820,30 Mar 1987,Antonov An-26,Democratic Republic of Afghanistan Air Force - DRAAF,n/a,Miranshah area,w/o
3821,31 Mar 1987,Antonov An-2P,Zakladu Uslug Agrolotniczych - ZUA,2,near Pilisszentlélek,w/o
3822,2 Apr 1987,Ilyushin Il-76MD,Soviet Air Force,8,Lake Sivash,dst
3823,2 Apr 1987,Ilyushin Il-76MD,Soviet Air Force,8,Lake Sivash,dst
3824,4 Apr 1987,McDonnell Douglas DC-9-32,Garuda Indonesia Airways,23,Medan-Polonia Airport (MES),w/o
3825,6 Apr 1987,Beechcraft 1900,Business Express Airlines,0,"Boston-Logan International Airport, MA (BOS)",sub
3826,8 Apr 1987,Lockheed L-100-30 Hercules,Southern Air Transport,5,"Fairfield-Travis AFB, CA (SUU)",dst
3827,11 Apr 1987,Boeing 707-330C,Transbrasil,0,"Manaus-Eduardo Gomes International Airport, AM (MAO)",w/o
3828,13 Apr 1987,Douglas DC-3C,Oil and Natural Gas Corporation - ONGC,0,Jaisalmer Airport (JSA),dst
3829,13 Apr 1987,Beechcraft 200 Super King Air,Barlow Rand Ltd.,3,near Johannesburg/Germiston-Rand Airport (QRA),w/o
3830,13 Apr 1987,Boeing 707-351C,Burlington Air Express,4,"5,5 km S of Kansas City International Airport, MO (MCI)",dst
3831,19 Apr 1987,Shorts SC.7 Skyvan 3-200,Air Cargo Carriers,0,"Denver-Stapleton International Airport, CO (DEN)",sub
3832,20 Apr 1987,de Havilland Canada DHC-3 Otter,Propair,n/a,"Lac Placier, QC",w/o
3833,23 Apr 1987,Swearingen SA226-TC Metro II,Air-Lift Commuter,2,"Wilmington-New Hanover County Airport, NC (ILM)",dst
3834,23 Apr 1987,Antonov An-2,Força Aérea Popular de Angola,n/a,unknown,w/o
3835,24 Apr 1987,Antonov An-2,"Aeroflot, Yakutsk Civil Aviation Directorate",0,Soviet Arctic ocean,w/o
3836,26 Apr 1987,Curtiss C-46D-15-CU Commando,Unknown,2,22 km off Panay,w/o
3837,27 Apr 1987,Dornier 228-100,Royal Oman Police,0,Al Jaylah,w/o
3838,28 Apr 1987,Hawker Siddeley HS-748-243 Srs. 2,Thai Airways,0,Chiang Rai Airport (CEI),w/o
3839,1 Jan 1970,Antonov An-2R,"Aeroflot, North Kavkaz Civil Aviation Directorate",n/a,unknown,w/o
3840,1 Jan 1970,Britten-Norman BN-2A-26 Islander,Taiwan Airlines,n/a,unknown,w/o
3841,4 May 1987,GAF Nomad N.22SL,Tentara Nasional Indonesia-AL (Navy),3,off Pulau Mapur,w/o
3842,5 May 1987,unknown,Iran Air,0,Tehran-Mehrabad Airport (THR),non
3843,7 May 1987,Douglas C-47B-50-DK (DC-3),Transporte Aéreo Militar - TAM Paraguay,n/a,Bahia Negra,w/o
3844,8 May 1987,Douglas DC-6BF,Frigorifico Reyes,0,La Paz-El Alto Airport (LPB),w/o
3845,8 May 1987,CASA C-212 Aviocar 200,American Eagle,2,"0,2 km from Mayagüez Airport (MAZ)",dst
3846,9 May 1987,Ilyushin Il-62M,LOT Polskie Linie Lotnicze,183,6 km SE of Warszawa-Okecie Airport (WAW),dst
3847,11 May 1987,Lockheed C-130 Hercules,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),5,Wau,w/o
3848,11 May 1987,Douglas C-47J (DC-3),Northland Air Manitoba,2,"3 km W of Pickle Lake, ON",w/o
3849,12 May 1987,Learjet 35A,Corporate Jets,2,"West Mifflin, PA",dst
3850,13 May 1987,Kaiser-Frazer C-119L Flying Boxcar,Northern Pacific Transport,0,"Shageluk, AK",sub
3851,19 May 1987,Boeing 747-219B,Air New Zealand,0,Nadi International Airport (NAN),non
3852,19 May 1987,de Havilland Canada DHC-6 Twin Otter 300,Yacimientos Petroliferos Fiscales Bolivianos - YPFB,14,Savannas hill range,w/o
3853,23 May 1987,de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,8,near Ruteng,w/o
3854,25 May 1987,de Havilland Canada DHC-6 Twin Otter 100,Mission Aviation Fellowship - MAF,7,near Ilaga Airport (ILA),w/o
3855,26 May 1987,British Aerospace 3101 Jetstream 31,Continental Express,0,"New Orleans International Airport, LA (MSY)",dst
3856,27 May 1987,Antonov An-2R,Aeroflot / Latvia,0,off Visby,w/o
3857,28 May 1987,Douglas C-47 (DC-3),Fuerza Aérea Guatemalteca,12,near Flores-Santa Elena Airport (FRS),w/o
3858,29 May 1987,Junkers Ju-52/3m,Ju-Air,0,near Koblenz-Winningen Airport,sub
3859,31 May 1987,Cessna 501 Citation I/SP,Travel Air,2,near Lübeck-Blankensee Airport (LBC),w/o
3860,1 Jan 1970,British Aerospace BAe-748-314 Srs. 2A LFD,Tanzanian People's Defence Force,0,Lake Manyara (LKY),w/o
3861,5 Jun 1987,Britten-Norman BN-2A Islander,Rutaca,10,within Bolivar State,w/o
3862,5 Jun 1987,Grumman G-73T Turbo Mallard,Virgin Islands Seaplane Shuttle,0,San Juan,non
3863,9 Jun 1987,Boeing 727-90C,Alaska Airlines,0,"Anchorage International Airport, AK (ANC)",dst
3864,10 Jun 1987,Britten-Norman BN-2A-21 Defender,Sultanate of Oman Air Force,n/a,unknown,w/o
3865,11 Jun 1987,Antonov An-26,Bakhtar Afghan Airlines,53,near Khost,w/o
3866,13 Jun 1987,Antonov An-2R,"Aeroflot, Yakutsk Civil Aviation Directorate",n/a,unknown,w/o
3867,13 Jun 1987,Let L-410M,"Aeroflot, Yakutsk Civil Aviation Directorate",n/a,unknown,w/o
3868,13 Jun 1987,de Havilland Canada DHC-6 Twin Otter 100,Athabaska Airways,0,"near Maudsley Lake, SK",w/o
3869,15 Jun 1987,Antonov An-32,Democratic Republic of Afghanistan Air Force - DRAAF,5,near Kandahar,w/o
3870,16 Jun 1987,Martin 4-0-4,CAMBA - Commercializadora Aérea Mixta Boliviana,0,Paraparau,w/o
3871,16 Jun 1987,Douglas DC-4-1009,Calm Air International,0,"Hidden Bay Airstrip, SK",w/o
3872,16 Jun 1987,Boeing 737-2T4,CAAC,0+1,Fuzhou Yixu Airport (FOC),sub
3873,16 Jun 1987,Embraer C-95 Bandeirante (EMB-110),Força Aérea Brasileira - FAB,0+1,"Manaus, AM",w/o
3874,18 Jun 1987,Antonov An-26,Fuerza Aérea del Peru - FAP,50,40 km SE of Saposoa Airport (SQU),dst
3875,19 Jun 1987,Yakovlev Yak-40,Aeroflot / Ukraine,8,Berdyansk Airport (ERD),w/o
3876,20 Jun 1987,IRMA/Britten-Norman BN-2A-20 Islander,Kiunga Aviation,2,32 km from Lae,w/o
3877,21 Jun 1987,Fokker F-27 Friendship 200,Burma Airways,45,24 km SE of Hopong,w/o
3878,21 Jun 1987,Antonov An-32,Democratic Republic of Afghanistan Air Force - DRAAF,3,near Kandahar,w/o
3879,22 Jun 1987,Lockheed L-100-30 Hercules,Southern Air Transport,0,"Dayton Airport, OH (DAY)",sub
3880,23 Jun 1987,Hawker Siddeley HS-748-285 Srs. 2A LFD,TAME Ecuador,0,Lago Agrio Airport (LGQ),w/o
3881,23 Jun 1987,Beechcraft B200 Super King Air,Barry D. Tidwell,0,"Jasper-Walker County Airport-Bevill Field, AL (JFX)",w/o
3882,24 Jun 1987,Beechcraft 200C Super King Air,Midwest Energy Development,0,"Madisonville Municipal Airport, KY",dst
3883,24 Jun 1987,IRMA/Pilatus Britten-Norman BN-2A-26 Islander,Falkland Islands Government Air Service - FIGAS,0,Brookfield Farm,w/o
3884,26 Jun 1987,Hawker Siddeley HS-748-209 Srs. 2,Philippine Air Lines,50,19 km ESE of Baguio-Loakan Airport (BAG),dst
3885,1 Jul 1987,Lockheed C-130E Hercules,United States Air Force - USAF,4+1,"Fort Bragg, NC",w/o
3886,6 Jul 1987,Fokker F-27 Friendship 100,Vayudoot,0,Cooch Behar Airport (COH),sub
3887,10 Jul 1987,Antonov An-2,Aviatia Utilitara,n/a,unknown,w/o
3888,10 Jul 1987,Antonov An-2R,MÉM Repülögépes Szolgálat,0,unknown,w/o
3889,12 Jul 1987,Antonov An-12,Soviet Air Force,n/a,Kandahar Airport (KDH),w/o
3890,13 Jul 1987,Douglas DC-3-314B,KDD Aviation,1,Ciudad Camargo,w/o
3891,17 Jul 1987,IRMA/Britten-Norman BN-2A-27 Islander,Aerovisión,0,Sabadell Airport,min
3892,17 Jul 1987,Beechcraft B200 Super King Air,Richard P. Lieberman,4,"Crystal Bay, NV",w/o
3893,18 Jul 1987,Canadian Vickers PBV-1A Canso (PBY-5A),Gouvernement du Québec,1,"Lac Cache, ON",w/o
3894,20 Jul 1987,Antonov An-2TP,"Aeroflot, Yakutsk Civil Aviation Directorate",n/a,unknown,w/o
3895,20 Jul 1987,GAF Nomad N.24A,Air Safaris & Services,0,Tekapo Aerodrome,w/o
3896,23 Jul 1987,IAI Arava 201,Fuerza Aérea Guatemalteca,3,near El Petén,w/o
3897,23 Jul 1987,Tupolev Tu-134A-3,Aeroflot / Ukraine,n/a,Ivanovo Airport (IWA),w/o
3898,24 Jul 1987,McDonnell Douglas DC-10-30,Air Afrique,1,Genève-Cointrin Airport (GVA),unk
3899,25 Jul 1987,Embraer EMB-110P Bandeirante,Rio Sul Serviços Aéreos Regionais,0,"Santo Angelo Airport, RS (GEL)",w/o
3900,28 Jul 1987,Douglas C-53-DO (DC-3),La Mesa Leasing Inc.,0,"Laredo International Airport, TX (LRD)",sub
